geo_id,Name,total_population,employed_population
1400000US36005024900,"Census Tract 249, Bronx County, New York",0,0
1400000US36005025000,"Census Tract 250, Bronx County, New York",2591,1131
1400000US36005025100,"Census Tract 251, Bronx County, New York",7360,3198
1400000US36005025200,"Census Tract 252, Bronx County, New York",2787,1364
1400000US36005025300,"Census Tract 253, Bronx County, New York",6199,2601
1400000US36005025400,"Census Tract 254, Bronx County, New York",1997,850
1400000US36005025500,"Census Tract 255, Bronx County, New York",7674,3368
1400000US36005025600,"Census Tract 256, Bronx County, New York",1696,726
1400000US36005025700,"Census Tract 257, Bronx County, New York",1999,1316
1400000US36005026100,"Census Tract 261, Bronx County, New York",2097,1031
1400000US36005026300,"Census Tract 263, Bronx County, New York",6218,2236
1400000US36005026400,"Census Tract 264, Bronx County, New York",4868,2350
1400000US36005026500,"Census Tract 265, Bronx County, New York",7851,3390
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",3452,1755
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",5084,2459
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",4185,1965
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",7895,3490
1400000US36005026900,"Census Tract 269, Bronx County, New York",3703,2006
1400000US36005027300,"Census Tract 273, Bronx County, New York",7778,3678
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",4693,2251
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",3481,1588
1400000US36005027600,"Census Tract 276, Bronx County, New York",24,4
1400000US36005027700,"Census Tract 277, Bronx County, New York",4660,2093
1400000US36005027900,"Census Tract 279, Bronx County, New York",7379,3541
1400000US36005028100,"Census Tract 281, Bronx County, New York",3954,1830
1400000US36005028300,"Census Tract 283, Bronx County, New York",2489,1033
1400000US36005028400,"Census Tract 284, Bronx County, New York",554,18
1400000US36005028500,"Census Tract 285, Bronx County, New York",3523,1943
1400000US36005028600,"Census Tract 286, Bronx County, New York",1085,552
1400000US36005028700,"Census Tract 287, Bronx County, New York",3153,1468
1400000US36005028800,"Census Tract 288, Bronx County, New York",3330,1580
1400000US36005028900,"Census Tract 289, Bronx County, New York",4807,2166
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",1806,815
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",5569,2694
1400000US36005029500,"Census Tract 295, Bronx County, New York",4564,2541
1400000US36005029600,"Census Tract 296, Bronx County, New York",1575,839
1400000US36005029700,"Census Tract 297, Bronx County, New York",3799,1640
1400000US36005030000,"Census Tract 300, Bronx County, New York",6021,3160
1400000US36005030100,"Census Tract 301, Bronx County, New York",1413,540
1400000US36005030200,"Census Tract 302, Bronx County, New York",8704,3820
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",5726,2699
1400000US36005030900,"Census Tract 309, Bronx County, New York",3709,1211
1400000US36005031000,"Census Tract 310, Bronx County, New York",4753,1818
1400000US36005031200,"Census Tract 312, Bronx County, New York",1678,908
1400000US36005031400,"Census Tract 314, Bronx County, New York",2079,931
1400000US36005031600,"Census Tract 316, Bronx County, New York",1900,925
1400000US36005031800,"Census Tract 318, Bronx County, New York",2179,920
1400000US36005031900,"Census Tract 319, Bronx County, New York",633,222
1400000US36005032300,"Census Tract 323, Bronx County, New York",4575,2191
1400000US36005032400,"Census Tract 324, Bronx County, New York",3177,1626
1400000US36005032600,"Census Tract 326, Bronx County, New York",3407,1789
1400000US36005032800,"Census Tract 328, Bronx County, New York",3839,1331
1400000US36005033000,"Census Tract 330, Bronx County, New York",5776,2249
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",5564,2614
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",4033,1371
1400000US36005033400,"Census Tract 334, Bronx County, New York",15,3
1400000US36005033500,"Census Tract 335, Bronx County, New York",2048,922
1400000US36005033600,"Census Tract 336, Bronx County, New York",6714,2799
1400000US36005033700,"Census Tract 337, Bronx County, New York",2521,1126
1400000US36005033800,"Census Tract 338, Bronx County, New York",4105,1960
1400000US36005034000,"Census Tract 340, Bronx County, New York",5606,2594
1400000US36005034200,"Census Tract 342, Bronx County, New York",1888,884
1400000US36005034300,"Census Tract 343, Bronx County, New York",1665,780
1400000US36005034400,"Census Tract 344, Bronx County, New York",2172,1159
1400000US36005034500,"Census Tract 345, Bronx County, New York",3540,1538
1400000US36005034800,"Census Tract 348, Bronx County, New York",5707,2190
1400000US36005035000,"Census Tract 350, Bronx County, New York",2063,1152
1400000US36005035100,"Census Tract 351, Bronx County, New York",3740,1877
1400000US36005035600,"Census Tract 356, Bronx County, New York",2254,1252
1400000US36005035800,"Census Tract 358, Bronx County, New York",8172,3800
1400000US36005035900,"Census Tract 359, Bronx County, New York",2053,689
1400000US36005036000,"Census Tract 360, Bronx County, New York",3271,1412
1400000US36005036100,"Census Tract 361, Bronx County, New York",5576,1890
1400000US36005036300,"Census Tract 363, Bronx County, New York",7517,3063
1400000US36005036400,"Census Tract 364, Bronx County, New York",2565,1265
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",3901,1427
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",2620,1096
1400000US36005036700,"Census Tract 367, Bronx County, New York",2395,885
1400000US36005036800,"Census Tract 368, Bronx County, New York",2109,1014
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",2101,749
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",2074,584
1400000US36005037000,"Census Tract 370, Bronx County, New York",2416,1166
1400000US36005037100,"Census Tract 371, Bronx County, New York",4226,1510
1400000US36005037200,"Census Tract 372, Bronx County, New York",2132,1043
1400000US36005037300,"Census Tract 373, Bronx County, New York",6373,2321
1400000US36005037400,"Census Tract 374, Bronx County, New York",3861,1482
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",3323,1208
1400000US36005037600,"Census Tract 376, Bronx County, New York",2197,968
1400000US36005037800,"Census Tract 378, Bronx County, New York",2900,1333
1400000US36005037900,"Census Tract 379, Bronx County, New York",5469,1860
1400000US36005038000,"Census Tract 380, Bronx County, New York",5239,2228
1400000US36005038100,"Census Tract 381, Bronx County, New York",7647,3402
1400000US36005038200,"Census Tract 382, Bronx County, New York",3100,1121
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",5084,2450
1400000US36005038302,"Census Tract 383.02, Bronx County, New York",6032,1701
1400000US36005038500,"Census Tract 385, Bronx County, New York",4766,1656
1400000US36005038600,"Census Tract 386, Bronx County, New York",8889,3867
1400000US36005038700,"Census Tract 387, Bronx County, New York",3823,1495
1400000US36005038800,"Census Tract 388, Bronx County, New York",2763,1355
1400000US36005038900,"Census Tract 389, Bronx County, New York",5521,2298
1400000US36005039000,"Census Tract 390, Bronx County, New York",2861,1438
1400000US36005039100,"Census Tract 391, Bronx County, New York",7544,2916
1400000US36005039200,"Census Tract 392, Bronx County, New York",1602,875
1400000US36005039300,"Census Tract 393, Bronx County, New York",8330,2369
1400000US36005039400,"Census Tract 394, Bronx County, New York",5647,2234
1400000US36005039500,"Census Tract 395, Bronx County, New York",4257,1689
1400000US36005039600,"Census Tract 396, Bronx County, New York",5022,1817
1400000US36005039700,"Census Tract 397, Bronx County, New York",3744,1207
1400000US36005039800,"Census Tract 398, Bronx County, New York",3842,2037
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",5618,2107
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",5646,2197
1400000US36005040100,"Census Tract 401, Bronx County, New York",4478,1806
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",4192,1893
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",4900,2193
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",3593,1533
1400000US36005040400,"Census Tract 404, Bronx County, New York",3600,1838
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",4399,1817
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",7264,2839
1400000US36005040600,"Census Tract 406, Bronx County, New York",3547,1531
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",3120,1544
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",7023,3462
1400000US36005040800,"Census Tract 408, Bronx County, New York",4826,2091
1400000US36005040900,"Census Tract 409, Bronx County, New York",3194,1617
1400000US36005041100,"Census Tract 411, Bronx County, New York",3510,1761
1400000US36005041300,"Census Tract 413, Bronx County, New York",8677,4657
1400000US36005041400,"Census Tract 414, Bronx County, New York",5158,2585
1400000US36005041500,"Census Tract 415, Bronx County, New York",6367,3086
1400000US36005041800,"Census Tract 418, Bronx County, New York",3876,1689
1400000US36005041900,"Census Tract 419, Bronx County, New York",6035,3082
1400000US36005042000,"Census Tract 420, Bronx County, New York",4206,1770
1400000US36005042100,"Census Tract 421, Bronx County, New York",5661,2407
1400000US36005042200,"Census Tract 422, Bronx County, New York",3285,1634
1400000US36005042300,"Census Tract 423, Bronx County, New York",4313,2037
1400000US36005042400,"Census Tract 424, Bronx County, New York",2569,1276
1400000US36005042500,"Census Tract 425, Bronx County, New York",6175,2864
1400000US36005042600,"Census Tract 426, Bronx County, New York",6729,3495
1400000US36005042800,"Census Tract 428, Bronx County, New York",2120,960
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",3561,1635
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",4041,1803
1400000US36005043000,"Census Tract 430, Bronx County, New York",3499,1629
1400000US36005043100,"Census Tract 431, Bronx County, New York",10246,4480
1400000US36005043400,"Census Tract 434, Bronx County, New York",3710,1874
1400000US36005043500,"Census Tract 435, Bronx County, New York",499,140
1400000US36005043600,"Census Tract 436, Bronx County, New York",2020,886
1400000US36005044200,"Census Tract 442, Bronx County, New York",4019,1706
1400000US36005044400,"Census Tract 444, Bronx County, New York",4295,2242
1400000US36005044800,"Census Tract 448, Bronx County, New York",2075,1097
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",1763,917
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",2041,1150
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",1455,737
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",1955,1007
1400000US36005045600,"Census Tract 456, Bronx County, New York",3220,1658
1400000US36005045800,"Census Tract 458, Bronx County, New York",5744,1706
1400000US36005046000,"Census Tract 460, Bronx County, New York",3246,954
1400000US36005046201,"Census Tract 462.01, Bronx County, New York",28109,13266
1400000US36005046202,"Census Tract 462.02, Bronx County, New York",9912,3921
1400000US36005048400,"Census Tract 484, Bronx County, New York",4277,2497
1400000US36005050400,"Census Tract 504, Bronx County, New York",0,0
1400000US36005051600,"Census Tract 516, Bronx County, New York",4531,2348
1400000US36047000100,"Census Tract 1, Kings County, New York",4405,2356
1400000US36047000200,"Census Tract 2, Kings County, New York",1167,510
1400000US36047000301,"Census Tract 3.01, Kings County, New York",3924,2112
1400000US36047000501,"Census Tract 5.01, Kings County, New York",4308,2232
1400000US36047000502,"Census Tract 5.02, Kings County, New York",2697,1764
1400000US36047000700,"Census Tract 7, Kings County, New York",3906,2161
1400000US36047000900,"Census Tract 9, Kings County, New York",4518,2910
1400000US36047001100,"Census Tract 11, Kings County, New York",1468,1184
1400000US36047001300,"Census Tract 13, Kings County, New York",1917,897
1400000US36047001500,"Census Tract 15, Kings County, New York",9011,5273
1400000US36047001800,"Census Tract 18, Kings County, New York",1897,0
1400000US36047002000,"Census Tract 20, Kings County, New York",1412,650
1400000US36047002100,"Census Tract 21, Kings County, New York",5106,3450
1400000US36047002200,"Census Tract 22, Kings County, New York",4698,1975
1400000US36047002300,"Census Tract 23, Kings County, New York",4219,1086
1400000US36047002901,"Census Tract 29.01, Kings County, New York",4447,1517
1400000US36047003000,"Census Tract 30, Kings County, New York",1718,896
1400000US36047003100,"Census Tract 31, Kings County, New York",3259,1565
1400000US36047003300,"Census Tract 33, Kings County, New York",4202,2821
1400000US36047003400,"Census Tract 34, Kings County, New York",3161,1660
1400000US36047003500,"Census Tract 35, Kings County, New York",1907,1174
1400000US36047003600,"Census Tract 36, Kings County, New York",3500,1880
1400000US36047003700,"Census Tract 37, Kings County, New York",2250,1690
1400000US36047003800,"Census Tract 38, Kings County, New York",1371,542
1400000US36047003900,"Census Tract 39, Kings County, New York",2262,1389
1400000US36047004100,"Census Tract 41, Kings County, New York",3654,2111
1400000US36047004300,"Census Tract 43, Kings County, New York",3727,2526
1400000US36047004400,"Census Tract 44, Kings County, New York",2518,1207
1400000US36047004500,"Census Tract 45, Kings County, New York",3385,2038
1400000US36047004600,"Census Tract 46, Kings County, New York",1301,508
1400000US36047004700,"Census Tract 47, Kings County, New York",1877,1026
1400000US36047004900,"Census Tract 49, Kings County, New York",2612,1371
1400000US36047005000,"Census Tract 50, Kings County, New York",2260,1145
1400000US36047005100,"Census Tract 51, Kings County, New York",2744,1691
1400000US36047005201,"Census Tract 52.01, Kings County, New York",1707,744
1400000US36047005202,"Census Tract 52.02, Kings County, New York",2442,1351
1400000US36047005300,"Census Tract 53, Kings County, New York",2167,1296
1400000US36047005400,"Census Tract 54, Kings County, New York",3185,1787
1400000US36047005601,"Census Tract 56.01, Kings County, New York",2447,1367
1400000US36047005602,"Census Tract 56.02, Kings County, New York",1687,905
1400000US36047005800,"Census Tract 58, Kings County, New York",2827,1473
1400000US36047005900,"Census Tract 59, Kings County, New York",1213,753
1400000US36047006000,"Census Tract 60, Kings County, New York",3148,1800
1400000US36047006200,"Census Tract 62, Kings County, New York",2676,1337
1400000US36047006300,"Census Tract 63, Kings County, New York",1866,1116
1400000US36047006400,"Census Tract 64, Kings County, New York",3042,1426
1400000US36047006500,"Census Tract 65, Kings County, New York",5976,3654
1400000US36047006600,"Census Tract 66, Kings County, New York",3542,1855
1400000US36047006700,"Census Tract 67, Kings County, New York",3886,2237
1400000US36047006800,"Census Tract 68, Kings County, New York",4900,2368
1400000US36047006900,"Census Tract 69, Kings County, New York",3591,2413
1400000US36047007000,"Census Tract 70, Kings County, New York",2538,1301
1400000US36047007100,"Census Tract 71, Kings County, New York",5050,2027
1400000US36047007200,"Census Tract 72, Kings County, New York",1900,892
1400000US36047007400,"Census Tract 74, Kings County, New York",5259,1928
1400000US36047007500,"Census Tract 75, Kings County, New York",4969,3069
1400000US36047007600,"Census Tract 76, Kings County, New York",5151,2385
1400000US36047007700,"Census Tract 77, Kings County, New York",5159,2912
1400000US36047007800,"Census Tract 78, Kings County, New York",5246,2386
1400000US36047008000,"Census Tract 80, Kings County, New York",3615,1887
1400000US36047008200,"Census Tract 82, Kings County, New York",3594,1662
1400000US36047008400,"Census Tract 84, Kings County, New York",3621,1771
1400000US36047008500,"Census Tract 85, Kings County, New York",7793,1861
1400000US36047008600,"Census Tract 86, Kings County, New York",0,0
1400000US36047008800,"Census Tract 88, Kings County, New York",2235,1316
1400000US36047009000,"Census Tract 90, Kings County, New York",3000,1538
1400000US36047009200,"Census Tract 92, Kings County, New York",5322,2478
1400000US36047009400,"Census Tract 94, Kings County, New York",5066,2399
1400000US36047009600,"Census Tract 96, Kings County, New York",6079,2969
1400000US36047009800,"Census Tract 98, Kings County, New York",6479,2967
1400000US36047010000,"Census Tract 100, Kings County, New York",6035,3052
1400000US36047010100,"Census Tract 101, Kings County, New York",4001,2224
1400000US36047010200,"Census Tract 102, Kings County, New York",4698,2341
1400000US36047010400,"Census Tract 104, Kings County, New York",4805,2455
1400000US36047010600,"Census Tract 106, Kings County, New York",4417,2086
1400000US36047010800,"Census Tract 108, Kings County, New York",3866,1690
1400000US36047011000,"Census Tract 110, Kings County, New York",2662,925
1400000US36047011200,"Census Tract 112, Kings County, New York",6188,2454
1400000US36047011400,"Census Tract 114, Kings County, New York",3796,1370
