NPTREF,latitude,longitude,type,RSTNAM
9400ZZMAWTD,53.424477,-2.236039,metrolink,West Didsbury
9400ZZMAWWD,53.542321,-2.125871,metrolink,Westwood
9400ZZMAWFS,53.466217,-2.287502,metrolink,Wharfside
9400ZZMAWFD,53.551227,-2.295261,metrolink,Whitefield
9400ZZMAWIT,53.43281,-2.249407,metrolink,Withington
9400ZZMAWPK,53.407671,-2.295666,metrolink,Wythenshawe Park
9400ZZMAWYT,53.380025,-2.263755,metrolink,Wythenshawe Town Centre
9400ZZMARAD,53.562305,-2.321003,metrolink,Radcliffe
9400ZZMARRS,53.611021,-2.154447,metrolink,Rochdale Railway Station
9400ZZMARND,53.392604,-2.289155,metrolink,Roundthorn
9400ZZMASWP,53.428231,-2.290828,metrolink,Sale Water Park
9400ZZMASHU,53.48529,-2.23908,metrolink,Shudehill
9400ZZMASTW,53.438717,-2.265428,metrolink,St Werburgh's Road
9100PBRT,53.530487,-2.669857,railway,PEMBERTON
9100KEARSLY,53.544575,-2.375574,railway,KEARSLEY
9100REDISHS,53.436075,-2.158507,railway,REDDISH SOUTH
9100ROHL,53.396022,-2.076505,railway,ROSE HILL
9100RYDRBRW,53.456836,-2.173675,railway,RYDER BROW
9100SLFDCT,53.486485,-2.275777,railway,SALFORD CRESCENT
9100SMBG,53.63298,-2.113863,railway,SMITHY BRIDGE
9100ARDWICK,53.471206,-2.213369,railway,ARDWICK
9100ASHBRYS,53.471867,-2.194752,railway,ASHBURYS
9100ATHERTN,53.529109,-2.47799,railway,ATHERTON
9100BLLVUE,53.461787,-2.180187,railway,BELLE VUE
9100BLRD,53.591184,-2.569805,railway,BLACKROD
9100BOLTON,53.573558,-2.425152,railway,BOLTON INTERCHANGE
9100BMHL,53.360557,-2.163021,railway,BRAMHALL
9100BREDBRY,53.423069,-2.110546,railway,BREDBURY
9100BRNGTN,53.431953,-2.134094,railway,BRINNINGTON
9100BRBM,53.440791,-2.016625,railway,BROADBOTTOM
9100BRMCRSS,53.613984,-2.41073,railway,BROMLEY CROSS
9100BRYN,53.499644,-2.647723,railway,BRYN
9100BAGE,53.421964,-2.215229,railway,BURNAGE
9100CSTL,53.592167,-2.178128,railway,CASTLETON
9100CHASNRD,53.446192,-2.368172,railway,CHASSEN ROAD
9100CHDH,53.376277,-2.188078,railway,CHEADLE HULME
9100CLTN,53.522246,-2.313974,railway,CLIFTON
9100DAISYH,53.539371,-2.515317,railway,DAISY HILL
9100DAVNPRT,53.390889,-2.15252,railway,DAVENPORT
9100FRFD,53.471309,-2.14496,railway,FAIRFIELD
9100FRNW,53.55034,-2.388273,railway,FARNWORTH
9100FLIXTON,53.443788,-2.383507,railway,FLIXTON
9100FLWRYFD,53.461438,-2.080239,railway,FLOWERY FIELD
9100GATHRST,53.559507,-2.694228,railway,GATHURST
9100GATLEY,53.392929,-2.230828,railway,GATLEY
9100GODLY,53.452266,-2.055707,railway,GODLEY
9100GORTON,53.469006,-2.167217,railway,GORTON
9100GFLD,53.538847,-2.014067,railway,GREENFIELD
9100GIDB,53.474552,-2.113951,railway,GUIDE BRIDGE
9100HAGFOLD,53.533592,-2.493928,railway,HAG FOLD
9100HALE,53.378516,-2.347489,railway,HALE
9100HITW,53.597221,-2.413151,railway,HALL I'TH' WOOD
9100HATRSLY,53.44527,-2.04034,railway,HATTERSLEY
9100HAZL,53.377764,-2.122726,railway,HAZEL GROVE
9100HLDG,53.369404,-2.236696,railway,HEALD GREEN
9100HTCP,53.425638,-2.178995,railway,HEATON CHAPEL
9100HINDLEY,53.54236,-2.575321,railway,HINDLEY
9100HORWICH,53.578022,-2.539483,railway,HORWICH PARKWAY
9100HMPHRYP,53.45227,-2.327719,railway,HUMPHREY PARK
9100HYDEC,53.451449,-2.085083,railway,HYDE CENTRAL
9100HYDEN,53.464752,-2.085125,railway,HYDE NORTH
9100INCE,53.539065,-2.612381,railway,INCE
9100IRLAM,53.434227,-2.432776,railway,IRLAM
9100LVHM,53.444384,-2.192744,railway,LEVENSHULME
9100LITLBRO,53.642992,-2.094544,railway,LITTLEBOROUGH
9100LOSTCKP,53.573033,-2.4941,railway,LOSTOCK
9100MNCROXR,53.473785,-2.242248,railway,MANCHESTER OXFORD ROAD
9400ZZMAMKT,53.481917,-2.238783,railway,Market Street
9100MARPLE,53.401012,-2.057518,railway,MARPLE
9100MLDTHRD,53.433508,-2.208966,railway,MAULDETH ROAD
9100MDWD,53.360081,-2.083503,railway,MIDDLEWOOD
9100MLSHILL,53.551064,-2.171479,railway,MILLS HILL
9100MRSD,53.516333,-2.35225,railway,MOORSIDE
9100MSGT,53.556176,-2.401339,railway,MOSES GATE
9100MOSSLEY,53.514922,-2.041325,railway,MOSSLEY
9100MSTN,53.523336,-2.171021,railway,MOSTON
9100NWTH,53.456584,-2.066947,railway,NEWTON FOR HYDE
9100ORRELL,53.530171,-2.709182,railway,ORRELL
9100PTRCRFT,53.484868,-2.356857,railway,PATRICROFT
9100REDISHN,53.449543,-2.156239,railway,REDDISH NORTH
9100ROMILEY,53.414017,-2.089325,railway,ROMILEY
9100SLFDORD,53.482845,-2.255545,railway,SALFORD CENTRAL
9100SBYD,53.484387,-2.063328,railway,STALYBRIDGE
9100STKP,53.405535,-2.163057,railway,STOCKPORT
9100SWNT,53.514822,-2.337082,railway,SWINTON
9100TRFDPK,53.454785,-2.3117,railway,TRAFFORD PARK
9100URMSTON,53.448285,-2.353796,railway,URMSTON
9100WALKDEN,53.51979,-2.396168,railway,WALKDEN
9100WSTHOTN,53.555912,-2.523141,railway,WESTHOUGHTON
9100WIGANNW,53.54336,-2.633314,railway,WIGAN NORTH WESTERN
9100WIGANWL,53.544833,-2.633411,railway,WIGAN WALLGATE
9100WOODLEY,53.429259,-2.092804,railway,WOODLEY
9100WMOR,53.386246,-2.141558,railway,WOODSMOOR
