NPTREF,dc,cc,bc,greenspace
9100HALE,-1.466108846,-0.608814681,-1.980306404,-0.339843581
9100HATRSLY,-0.137022369,-0.466790255,-0.806194911,0.531267695
9100HAZL,0.240994484,-0.608814681,-0.807501073,0.654735573
9100HINDLEY,1.616777403,-0.812656517,0.316668188,0.906196337
9100HITW,0.743452467,-1.052972969,-0.803589839,0.429981515
9100HLDG,-1.466108846,0.020815234,-1.980306404,0.213534628
9100HMPHRYP,-0.137022369,0.663945374,0.002994991,-0.221306301
9100HORWICH,0.523869923,-1.269883468,-0.803589839,2.843437058
9100HTCP,0.523869923,0.640469179,0.467879093,-0.887078068
9100HYDEC,0.240994484,-0.245582239,-0.610251661,0.158213839
9100HYDEN,0.523869923,0.046853037,-0.331299363,-0.372621821
9100INCE,0.918812603,-1.022496055,0.325609016,0.054728285
9100IRLAM,-0.667642295,-0.551651657,-1.980306404,0.744279542
9100KEARSLY,1.062064464,0.175436329,0.551855696,-0.327338049
9100LITLBRO,-2.802253091,-1.959665788,-1.980306404,0.561346198
9100LOSTCKP,0.743452467,-1.052972969,-0.444737645,0.851890791
9100LVHM,0.918812603,1.004664287,0.569549958,-0.775814931
9100MARPLE,-0.667642295,-0.961919695,-1.980306404,1.398658844
9100MDWD,-0.667642295,-0.931819208,-1.980306404,2.65488024
9100MLDTHRD,0.743452467,1.09200352,0.429692343,-0.171612385
9100MLSHILL,0.918812603,-1.083576401,0.639819953,-0.442320584
9100MNCROXR,-0.137022369,1.998955886,2.222568955,-2.149518653
9100MOSSLEY,0.743452467,-1.49317629,-0.810120706,0.013889506
9100MRSD,0.240994484,0.802778525,0.773044816,0.222537803
9100MSGT,0.743452467,-0.191416249,0.330056289,0.723152105
9100MSTN,1.962746329,-0.842262326,0.744215524,-0.943377871
9100NWTH,-0.667642295,-0.084421344,-0.197563383,0.592882808
9100ORRELL,-1.466108846,-1.656682541,-1.980306404,0.654745635
9100PBRT,0.523869923,-1.49317629,-0.636324418,-0.276563351
9100PTRCRFT,1.905285495,1.048514799,0.037917125,-1.893127465
9100REDISHN,0.240994484,0.251317585,0.075782158,-0.417493254
9100REDISHS,1.662446623,-0.218443148,-0.701886856,0.868204434
9100ROHL,-1.466108846,-0.871991037,-1.980306404,-0.176286104
9100ROMILEY,1.442907423,-0.63757429,-0.405081307,0.18485074
9100RYDRBRW,-0.667642295,0.47338442,0.229314773,0.395336854
9100SBYD,2.060349261,-1.238509812,-0.362909623,0.609306477
9100SLFDCT,1.616777403,1.908534946,1.670819797,0.800743084
9100SLFDORD,-0.137022369,1.721976753,0.314627489,-1.151835091
9100SMBG,0.743452467,-1.857413602,-0.740177178,-0.705171567
9100STKP,2.036476481,0.301383713,0.564298853,0.072953701
9100SWNT,0.743452467,1.048514799,0.860313095,-0.732445386
9100TRFDPK,1.062064464,0.938203572,0.169772026,-0.281388686
9100URMSTON,-0.137022369,0.301383713,-0.1956497,0.291373342
9100WALKDEN,0.918812603,0.351036757,0.679837335,0.226157422
9100WIGANNW,2.023478355,-1.052972969,-0.097519832,-0.066566372
9100WIGANWL,1.181271256,-1.238509812,0.053466253,0.616507508
9100WMOR,-0.667642295,-0.43873668,-0.449716281,-0.254369306
9100WOODLEY,0.523869923,-0.523247259,-1.047594485,-0.457788814
9100WSTHOTN,1.979410334,-1.460879501,-1.084969388,-0.243090301
9400ZZMAABM,-0.137022369,0.779878631,0.692005939,-0.337477141
9400ZZMAALT,0.240994484,-0.327677345,-0.783087363,0.441060001
9400ZZMAAMO,-0.137022369,-0.783173102,-0.518048126,1.574353906
9400ZZMAANC,-1.466108846,0.68732452,-0.303545705,-0.648919783
9400ZZMAAUD,-0.137022369,-0.63757429,-0.339379731,0.480357261
9400ZZMAAUL,2.071336247,-0.871991037,-0.086839772,-0.205725539
9400ZZMAAWT,0.240994484,-0.90184316,-0.657391407,0.922878862
9400ZZMABAG,-0.667642295,-0.666453287,0.701916233,0.27595811
9400ZZMABAR,-0.137022369,0.663945374,1.18891484,0.724010141
9400ZZMABKS,-0.667642295,0.351036757,0.078015047,0.35313725
9400ZZMABLL,-0.137022369,-1.176151077,0.289882009,-0.732434427
9400ZZMABNR,-1.466108846,0.593224033,0.04533567,-0.901407435
9400ZZMABOB,-0.667642295,-0.218443148,-0.102462796,-0.10430038
