NPTREF,near_station,freq,line,bus_route,bike_capacity,car_park,near_highway,sum_pop,sum_lab,entropy,poi_count,access_lane,intersection,pedstrain,dc,cc,bc,greenspace
9400ZZMABNR,0.8414540564273989,-0.20807014683232342,-0.004381826512484028,0.9162402378223806,1.3044939820668242,-0.8090668620104065,0.2193872056881648,2.17505818855228,2.716286516865165,1.7194484800440824,-0.011892264720582201,-0.21955469441414627,-0.2838254489889773,0.06744064878800471,-1.46610884595059,0.5932240330064354,0.045335670014362256,-0.9014074351577448
9400ZZMABUR,-0.881864073777096,-0.9180416835998777,-2.230954684808041,0.8678841137352403,1.158558835016419,1.4060942011855575,0.30330470502523554,-0.6384595531690528,-0.7786073029632214,0.11528434915250291,0.7939640888460414,0.11806146890676136,0.5016838090700771,0.4716261111646537,-0.13702236918421307,-1.0835764013374303,-1.9803064043166851,0.6354833727727711
9100CSTL,-1.1386684642791456,0.5871103215450173,-0.004381826512484028,-0.7288253326111448,-1.16389195084171,0.7911829901440633,-0.6316606183478373,-0.09435915778332696,-0.0949086857406349,0.0815697122482865,-0.08855087719635006,-0.36963688464407,-1.7741209205724526,-0.1310932248376715,0.743452466525847,-1.3647880545851165,0.5287241419120923,-0.016807475702820762
9400ZZMACEM,1.1292411244421894,-0.9180416835998777,-0.004381826512484028,0.6662989493186973,0.8779611173354882,-0.8090668620104065,0.40504893796501734,0.34596431916151904,0.3601109257421708,0.013781885718061269,-0.273183376315859,-0.31496781201777696,-0.5618333934560582,0.5802377055022211,-0.13702236918421307,-0.19141624939504906,0.010907649904888789,0.6115291826140576
9400ZZMACTP,1.299995636979585,-0.20807014683232342,-0.004381826512484028,0.39316907907052584,0.6361536517287564,-0.8090668620104065,1.0560436314834845,-1.2462008137138263,-1.5041121785651093,0.0584010150177482,-2.395886799140819,-0.6142517587645029,-0.1457286961078308,-0.48523475173195835,-0.13702236918421307,0.8934353593334575,1.2752258133990402,0.22128981549335458
9100CHASNRD,-0.10452963551901868,0.1955545635545813,-0.004381826512484028,-0.8187963887968881,-1.16389195084171,-0.8090668620104065,0.020389518638533697,0.5509217932034264,0.6485262093322849,7.211642197744211,0.7534579463704588,-1.998845268575898,0.19460958022690758,-0.8211617661176872,-0.667642295201235,0.07278320011530019,-0.44639409659441254,0.9274443101294229
9100CHDH,-0.03863924946654831,1.2247376464301518,-0.004381826512484028,-0.6421438211422316,-0.20372210511137906,1.4060942011855575,0.3866248527976694,0.6041759181659494,0.7344858826519829,0.45572452842209904,0.6109956875432218,-1.7537839647460571,-0.030509484872977045,-0.1473833001603302,1.0620644636840675,-0.24558223925900377,-0.8075010734669548,-0.33564664831065616
9400ZZMACHO,0.8014879290647591,0.015431916406891412,-0.004381826512484028,0.2761622582904315,0.8249713204624723,-0.8090668620104065,0.47790806602624,1.8519311060456842,2.3229465810973067,-0.15289748396846398,1.2581723350469776,1.6415985170903684,0.3015576389385521,0.7344898594582757,-1.46610884595059,1.1351334371735802,1.324160121859079,-1.1256176128561326
9400ZZMACLN,1.299995636979585,-0.9180416835998777,-0.004381826512484028,0.2157694317146406,0.7097655110653261,-0.8090668620104065,1.4282849021975605,0.36586751998940165,-0.20718144351193982,0.04515858941460248,-0.6001496476887948,0.6878760328849389,0.06837466775241119,0.6782647409712845,-0.13702236918421307,0.3013837132995772,0.2890488363002188,-0.1419343918470063
9100CLTN,0.3807744143983273,-2.5647324170514145,-0.004381826512484028,-2.5822699606227726,-1.16389195084171,-0.8090668620104065,-0.4004097280450056,-0.6757944257193281,-0.833896144370806,0.22491940669856034,-1.1773745199118375,-0.17105895881499772,-1.7741209205724526,-1.6767132171039445,1.3682483920864787,1.1351334371735802,0.6577407171968225,0.6643437257396259
9400ZZMACRN,1.004184337520926,0.8567740403597229,1.1676705726346626,-0.10805708476022577,0.7192358482391751,-0.8090668620104065,-0.4174522157155633,1.2716270257613207,1.5312600933125469,-0.00874167392044016,0.6866488568914894,1.4455533920991424,1.6737617016735926,-1.462092462216239,0.9188126025309645,1.9449281995964547,2.2525793269297325,-0.9645023425651841
