NPTREF,node,place,design,greenspace
9400ZZMAVIC,2.033221546,2.208782866,1.552328332,-1.714062172
9400ZZMAVLG,0.067158239,-2.454056348,1.122686487,1.949049177
9400ZZMAVPK,0.743408274,-0.706125037,1.285163292,1.317722709
9400ZZMAWFD,0.224620743,0.907417573,-0.245274899,0.283543927
9400ZZMAWFS,0.497724905,-0.796224495,1.42180892,-0.463943192
9400ZZMAWIT,0.735285875,-0.315476029,-0.892711731,1.325595131
9400ZZMAWPK,0.565921413,0.593848394,0.072310939,-0.204647984
9400ZZMAWST,0.201666404,0.462722776,-0.12889588,0.185469453
9400ZZMAWTD,0.945283044,1.776638344,0.267388332,-0.820195584
9400ZZMAWWD,0.591944574,-0.245576415,1.120728059,-1.121825893
9400ZZMAWYT,0.765193505,0.479742026,0.785538135,-0.191164744
