NPTREF,node,place,design,npd,cc,bc,greenspace
9400ZZMAECC,0.903158108,-1.246509186,0.860339759,0.17232956,1.324856682,0.672141278,0.440257143
9400ZZMAECS,0.729292573,-0.701740302,0.558736426,0.195429566,1.026634954,0.526982475,1.500855173
9400ZZMAEDY,0.493463328,0.506076329,0.843396069,0.614311909,0.640469179,0.325406503,0.446582653
9400ZZMAELN,0.902100166,-0.138964491,-0.078223566,0.228304036,0.098606169,0.148480439,0.686917096
9400ZZMAEVC,0.234528768,-2.273373857,1.348057789,-0.230262433,-0.191416249,-0.794547058,-0.691772154
9400ZZMAEXC,0.478391916,-0.69453657,1.496634741,0.426830029,1.177907511,0.072549271,0.791199201
9400ZZMAEXS,2.241887257,1.246399164,1.66272138,1.7170026,1.6837288,0.260176634,-1.307560453
9400ZZMAFIR,0.281265117,1.636134838,0.391700877,0.769700277,1.241407833,1.379711191,-0.582288816
9400ZZMAFRE,0.305714372,0.383241599,-0.279086571,0.136623133,-0.191416249,0.866145095,-0.301669013
9400ZZMAFWH,0.704819895,0.413210576,-0.216490547,0.300513308,0.351036757,1.124805913,-0.548205575
9400ZZMAGMX,1.963812699,1.440172233,1.990699226,1.798228053,2.225470791,3.16057642,-1.021129483
9400ZZMAHCY,1.715754606,0.309585149,1.238581739,1.087973831,0.569454271,-0.532572407,-1.638849154
9400ZZMAHEA,0.168105192,0.300001209,-0.753624482,-0.095172694,0.0727832,0.281525583,1.191499543
9400ZZMAHOL,0.327797409,-0.370623812,0.301270798,0.086148132,0.175436329,1.043600777,-0.719650041
9400ZZMAHTN,0.279433772,0.314893933,0.829126052,0.474484586,1.15656477,0.632395208,-0.019976823
9400ZZMAIWM,1.103710285,-0.798053307,1.643474045,0.649710341,0.893435359,0.019808691,-3.958733177
9400ZZMAKNY,-0.470984201,-0.785847606,-0.17942755,-0.478753119,-1.590873341,-0.147104699,0.179389167
9400ZZMALDY,0.390067348,-0.673598825,0.7345449,0.150337808,1.177907511,-0.162108769,0.04439968
9400ZZMALWY,0.645319069,0.397506912,1.08294086,0.708588947,0.521618328,-0.583535635,0.341979641
9400ZZMAMCU,1.200527942,-0.79593616,1.166830297,0.52380736,0.375709438,-1.980306404,0.6384232
9400ZZMAMFT,0.937057671,0.187698045,0.204631085,0.443128934,-0.90184316,0.442912007,-0.321855305
9400ZZMAMIL,-0.26662733,0.324184062,-1.196483587,-0.379642285,-1.49317629,-0.051241782,-0.534149393
9400ZZMAMKT,2.087574785,1.074640718,1.978731972,1.713649158,1.606275702,-1.08091694,-1.44537052
9400ZZMAMON,0.925537719,-1.211688752,-0.04503739,-0.110396141,1.135133437,1.345269164,0.48096365
9400ZZMAMRD,0.739434895,0.366095606,0.365603893,0.490378131,-0.43873668,0.814288857,0.31368301
9400ZZMANAV,-0.447738754,1.283584252,-0.358240567,0.159201644,-0.005330656,-0.120390409,-0.013973548
9400ZZMANBD,-0.223778758,0.143035939,0.25713498,0.058797387,-1.689792182,-0.204611159,-1.817168623
9400ZZMANEW,0.809405271,-0.717935059,-0.680807121,-0.196445636,0.569454271,1.201863646,-0.269732686
9400ZZMANHY,0.088562712,-0.684660386,-1.882366095,-0.82615459,-1.364788055,0.034833226,0.403952488
9400ZZMANIS,0.82344744,0.538768441,0.999691441,0.787302441,1.427242008,0.729440254,-2.952159591
9400ZZMANMR,0.642917398,0.693836302,-0.929455336,0.135766121,-0.057948493,1.014283673,-0.252786721
9400ZZMAOKS,0.705418277,-0.756302944,1.318338157,0.422484497,-0.580173968,0.661869622,-0.247263718
9400ZZMAOLD,0.572361024,0.113894922,1.103542422,0.596599456,1.304123918,0.553908703,-0.000977297
9400ZZMAOMC,0.615586105,-1.224638656,1.143239555,0.178062335,-0.666453287,0.546022519,0.621525376
9400ZZMAOMP,-0.062910711,-0.718885932,0.466983565,-0.104937693,-0.812656517,0.418229856,-0.402547399
9400ZZMAPAR,0.066852837,-2.454035337,1.124649172,-0.420844443,0.251317585,-0.433227774,1.949049177
9400ZZMAPGD,2.392326745,2.09560816,2.012096145,2.166677017,1.702892385,0.368235533,-2.496080485
9400ZZMAPIC,1.617300923,1.208785035,1.326413249,1.384166402,1.871838944,2.51017125,-1.938614906
9400ZZMAPLL,0.551628707,-0.289543993,0.211020331,0.157701682,-1.689792182,-0.736613755,-0.386309304
9400ZZMAPOM,0.680063378,-0.02768944,0.799796433,0.48405679,1.487663032,0.909345691,0.390583808
9400ZZMAPWC,0.541998601,0.813498784,-0.451821378,0.301225336,-0.031585082,0.106176361,0.513521217
9400ZZMAQRD,0.135923559,-0.618942471,0.178841497,-0.101392472,1.199162025,0.803937046,0.777219962
9400ZZMARAD,-0.489287955,-0.393323023,0.117732022,-0.254959652,-0.695452167,-0.741368819,0.073088845
9400ZZMARIN,-0.241943142,0.065505624,0.796210257,0.206590913,-1.689792182,-1.980306404,0.069789009
9400ZZMARND,0.830751072,-0.309668548,0.104815128,0.208632551,-0.753811574,0.578986789,0.113794236
9400ZZMARRS,0.455757635,0.368805038,0.48788872,0.437483798,-1.525607155,0.448459098,-0.190078481
9400ZZMARWD,0.648704862,0.065573037,0.99547469,0.56991753,-1.558172652,-0.359511851,-0.506276675
9400ZZMASCH,0.860045583,0.20271462,-0.211697587,0.283687539,-0.005330656,0.957698976,0.038476037
9400ZZMASDW,-0.317333311,-0.55657039,-0.498332727,-0.457412143,-1.789948096,-1.980306404,-2.610926246
9400ZZMASFD,0.297101331,0.681761192,1.017810983,0.665557835,0.915865827,0.447905412,0.670753831
9400ZZMASHA,-0.504231834,0.093215863,-1.103322027,-0.504779333,-1.207265861,0.112931861,-0.804916995
9400ZZMASHU,1.807202324,1.568306422,1.948171182,1.774559976,1.547337857,-1.161233855,-1.318493168
9400ZZMASLE,0.263831704,1.553682238,1.016724641,0.944746194,0.569454271,0.213259615,-0.538724574
9400ZZMASQY,0.624281918,0.721208068,1.340483433,0.895324473,0.915865827,-0.106843309,-0.238772464
9400ZZMASTP,2.664355777,1.004403138,1.983914848,1.884224588,1.908534946,0.567180903,-1.53912694
9400ZZMASTW,0.969537014,0.884042865,0.972113785,0.941897888,0.915865827,1.454414251,0.436695244
9400ZZMASWP,-0.596141674,-2.632422417,-0.228709773,-1.152424621,0.326261657,1.104329251,2.974600615
9400ZZMATIM,-0.018103935,0.983678338,-0.691994348,0.091193352,0.149932293,-0.062136127,-0.277201121
9400ZZMATRA,0.311921922,-0.991317294,1.12466579,0.148423473,1.606275702,1.863763778,1.010972945
9400ZZMATRC,-0.053127564,-2.262471625,1.244601556,-0.356999211,-0.382976975,-1.980306404,2.702459968
9400ZZMAVIC,2.033221546,2.208782866,1.552328332,1.931444248,1.797528597,2.520060458,-1.714062172
9400ZZMAVLG,0.067158239,-2.454056348,1.122686487,-0.421403874,0.497551326,-0.180467854,1.949049177
9400ZZMAVPK,0.743408274,-0.706125037,1.285163292,0.44081551,0.640469179,0.414071657,1.317722709
9400ZZMAWFD,0.224620743,0.907417573,-0.245274899,0.295587806,-0.41079908,-0.365560912,0.283543927
9400ZZMAWFS,0.497724905,-0.796224495,1.42180892,0.374436443,1.177907511,0.187986438,-0.463943192
9400ZZMAWIT,0.735285875,-0.315476029,-0.892711731,-0.157633962,0.68732452,0.114854916,1.325595131
9400ZZMAWPK,0.565921413,0.593848394,0.072310939,0.410693582,-0.245582239,0.917953761,-0.204647984
9400ZZMAWST,0.201666404,0.462722776,-0.12889588,0.178497767,0.779878631,-0.377009948,0.185469453
9400ZZMAWTD,0.945283044,1.776638344,0.267388332,0.996436573,0.545585839,-0.023520758,-0.820195584
9400ZZMAWWD,0.591944574,-0.245576415,1.120728059,0.489032073,-0.43873668,0.768031711,-1.121825893
9400ZZMAWYT,0.765193505,0.479742026,0.785538135,0.676824555,-1.428716233,-0.09549111,-0.191164744
