NPTREF,RSTNAM,latitude,longitude,node,place,design,greenspace,Segement
9100BRMCRSS,BROMLEY CROSS,53.613984,-2.41073,-2.129492747,-1.439503951,-1.231014132,-0.079330405,Cluster4
9400ZZMABKS,Brooklands,53.417102,-2.326109,-0.500951026,0.729025842,0.518113191,0.35313725,Cluster2
9100BRYN,BRYN,53.499644,-2.647723,-1.130065077,0.276342374,-1.518905408,-0.063401742,Cluster4
9100BAGE,BURNAGE,53.421964,-2.215229,0.449982614,1.166825292,-0.227481851,0.070558267,Cluster2
9400ZZMABNR,Burton Road,53.429196,-2.240701,1.104945523,2.391832415,-0.246572839,-0.901407435,Cluster2
9400ZZMABUR,Bury,53.590923,-2.297109,-0.494129699,-0.51481453,0.443123816,0.635483373,Cluster3
9100CSTL,CASTLETON,53.592167,-2.178128,-1.098245996,-0.103287353,-1.166334468,-0.016807476,Cluster4
9400ZZMACEM,Cemetery Road,53.479863,-2.15501,1.081887609,0.282823997,-0.317804643,0.611529183,Cluster2
9400ZZMACTP,Central Park,53.501621,-2.19923,0.78805619,-1.763145661,-0.509125875,0.221289815,Cluster3
9100CHASNRD,CHASSEN ROAD,53.446192,-2.368172,-0.452430888,1.020006408,-1.11447688,0.92744431,Cluster2
9100CHDH,CHEADLE HULME,53.376277,-2.188078,-0.829669042,0.771998152,-0.94482068,-0.335646648,Cluster4
9400ZZMACHO,Chorlton,53.442852,-2.273433,0.689673133,2.216629595,1.176061313,-1.125617613,Cluster1
9400ZZMACLN,Clayton Hall,53.482799,-2.182159,0.798189792,-0.040873068,0.552611129,-0.141934392,Cluster3
9100CLTN,CLIFTON,53.522246,-2.313974,-0.385137895,-0.933217057,-1.443799514,0.664343726,Cluster4
9400ZZMACRN,Cornbrook,53.469992,-2.267581,0.90865099,1.461515181,1.270155124,-0.964502343,Cluster1
9400ZZMACSS,Crossacres,53.383376,-2.256259,0.856801405,1.156793378,0.752247703,-1.736885681,Cluster1
9400ZZMACRU,Crumpsall,53.517345,-2.241063,0.291665042,0.706313303,-0.465039673,-0.438940998,Cluster2
9100DAISYH,DAISY HILL,53.539371,-2.515317,-1.739627353,-0.277356567,-1.205111944,0.114141295,Cluster4
9400ZZMADNE,Dane Road,53.43031,-2.311326,0.426596895,-0.347948432,-0.625852217,0.882060669,Cluster3
9100DAVNPRT,DAVENPORT,53.390889,-2.15252,-0.400059603,0.398462512,0.038617927,0.117118348,Cluster2
9400ZZMAGMX,Deansgate - Castlefield,53.474747,-2.251098,1.963812699,1.440172233,1.990699226,-1.021129483,Cluster1
9400ZZMADER,Derker,53.549823,-2.101624,-0.256604371,-0.698806579,-0.969148405,0.840117939,Cluster4
9400ZZMADID,Didsbury Village,53.416743,-2.228564,0.7127748,0.999362756,0.284321771,-0.083696616,Cluster2
9400ZZMADRO,Droylsden,53.479453,-2.144672,1.078371062,0.886009518,-0.415861291,-0.12763276,Cluster2
9400ZZMAEDY,East Didsbury,53.412055,-2.217255,0.493463328,0.506076329,0.843396069,0.446582653,Cluster3
9400ZZMAECC,Eccles,53.482893,-2.334584,0.903158108,-1.246509186,0.860339759,0.440257143,Cluster3
9400ZZMAELN,Edge Lane,53.480865,-2.16523,0.902100166,-0.138964491,-0.078223566,0.686917096,Cluster3
9400ZZMAECS,Etihad Campus,53.485375,-2.201339,0.729292573,-0.701740302,0.558736426,1.500855173,Cluster3
9400ZZMAEXC,Exchange Quay,53.467837,-2.282315,0.478391916,-0.69453657,1.496634741,0.791199201,Cluster3
9400ZZMAEXS,Exchange Square,53.484471,-2.24267,2.241887257,1.246399164,1.66272138,-1.307560453,Cluster1
9400ZZMAFWH,Failsworth,53.510619,-2.162932,0.704819895,0.413210576,-0.216490547,-0.548205575,Cluster2
9100FRFD,FAIRFIELD,53.471309,-2.14496,0.015603849,-0.918678558,-0.802883424,1.203425611,Cluster4
9100FRNW,FARNWORTH,53.55034,-2.388273,-0.356181969,-0.259560367,-0.918820505,0.867858287,Cluster4
9400ZZMAFIR,Firswood,53.451291,-2.277719,0.281265117,1.636134838,0.391700877,-0.582288816,Cluster2
9100FLIXTON,FLIXTON,53.443788,-2.383507,-0.605707793,-0.614398006,-1.226839523,1.470943459,Cluster4
9100FLWRYFD,FLOWERY FIELD,53.461438,-2.080239,-0.240915752,0.46274012,-1.50852477,0.202542533,Cluster4
9400ZZMAFRE,Freehold,53.537616,-2.13817,0.305714372,0.383241599,-0.279086571,-0.301669013,Cluster2
9100GATHRST,GATHURST,53.559507,-2.694228,-2.243465607,-2.631737303,-1.832513447,2.804789194,Cluster5
9100GATLEY,GATLEY,53.392929,-2.230828,-0.355189141,0.282129142,-0.032695782,0.377419735,Cluster2
9100GODLY,GODLEY,53.452266,-2.055707,-0.683171523,-0.729374743,-0.636325921,-0.58926264,Cluster4
9100GORTON,GORTON,53.469006,-2.167217,0.224706972,1.534817157,-0.681267494,-1.02165762,Cluster2
9100GFLD,GREENFIELD,53.538847,-2.014067,-2.156790143,-1.064651716,-0.489129524,0.599582078,Cluster4
9100GIDB,GUIDE BRIDGE,53.474552,-2.113951,-0.198186953,-0.6014467,0.040326166,-0.101034417,Cluster3
9100HAGFOLD,HAG FOLD,53.533592,-2.493928,-0.76761208,0.123057093,-2.179058475,-0.740095198,Cluster4
9100HALE,HALE,53.378516,-2.347489,-1.885673471,0.47053393,-1.125171517,-0.339843581,Cluster4
9100HITW,HALL I'TH' WOOD,53.597221,-2.413151,-1.024837584,-0.587273473,-0.02220004,0.429981515,Cluster4
9400ZZMAHCY,Harbour City,53.474027,-2.291321,1.715754606,0.309585149,1.238581739,-1.638849154,Cluster1
9100HATRSLY,HATTERSLEY,53.44527,-2.04034,-1.117449028,-1.637568149,-1.895360625,0.531267695,Cluster4
9100HAZL,HAZEL GROVE,53.377764,-2.122726,-0.670276268,0.074399124,0.020304989,0.654735573,Cluster4
9100HLDG,HEALD GREEN,53.369404,-2.236696,-1.552877137,-0.493238841,-0.203106341,0.213534628,Cluster4
9100HTCP,HEATON CHAPEL,53.425638,-2.178995,0.26477131,1.164108448,0.055829624,-0.887078068,Cluster2
9400ZZMAHEA,Heaton Park,53.530494,-2.267177,0.168105192,0.300001209,-0.753624482,1.191499543,Cluster2
9100HINDLEY,HINDLEY,53.54236,-2.575321,-1.736517488,-0.666543888,-1.938638359,0.906196337,Cluster4
9400ZZMAHOL,Hollinwood,53.519844,-2.147494,0.327797409,-0.370623812,0.301270798,-0.719650041,Cluster3
9400ZZMAHTN,Holt Town,53.483217,-2.212194,0.279433772,0.314893933,0.829126052,-0.019976823,Cluster3
9100HORWICH,HORWICH PARKWAY,53.578022,-2.539483,-1.771578723,-2.500349688,0.264440816,2.843437058,Cluster5
9100HMPHRYP,HUMPHREY PARK,53.45227,-2.327719,-0.108660296,1.107559063,-0.505199822,-0.221306301,Cluster2
9100HYDEC,HYDE CENTRAL,53.451449,-2.085083,-0.235859843,-0.735005497,0.303458651,0.158213839,Cluster3
9100HYDEN,HYDE NORTH,53.464752,-2.085125,-0.608284962,0.507153439,-1.141337184,-0.372621821,Cluster4
9400ZZMAIWM,Imperial War Museum,53.468585,-2.296767,1.103710285,-0.798053307,1.643474045,-3.958733177,Cluster1
9100INCE,INCE,53.539065,-2.612381,-0.831097929,-0.71426571,-0.372698269,0.054728285,Cluster4
9400ZZMATRC,intu Trafford Centre,53.434227,-2.432776,-0.053127564,-2.262471625,1.244601556,2.702459968,Cluster5
9100IRLAM,IRLAM,53.544575,-2.375574,-2.010549777,-1.192315455,-0.432224462,0.744279542,Cluster4
9100KEARSLY,KEARSLEY,53.61112,-2.123855,-0.640479142,-0.167599304,-0.880285916,-0.327338049,Cluster4
9400ZZMAKNY,Kingsway Business Park,53.483993,-2.326757,-0.470984201,-0.785847606,-0.17942755,0.179389167,Cluster4
9400ZZMALDY,Ladywell,53.480613,-2.295962,0.390067348,-0.673598825,0.7345449,0.04439968,Cluster3
9400ZZMALWY,Langworthy,53.444384,-2.192744,0.645319069,0.397506912,1.08294086,0.341979641,Cluster3
9100LVHM,LEVENSHULME,53.642992,-2.094544,-0.131354061,2.155384624,0.622961358,-0.775814931,Cluster2
9100LITLBRO,LITTLEBOROUGH,53.573033,-2.4941,-2.236289167,-0.791669032,-0.986546379,0.561346198,Cluster4
9100LOSTCKP,LOSTOCK,53.473785,-2.242248,-1.379978799,-0.962363394,-1.027673676,0.851890791,Cluster4
9100MNCROXR,MANCHESTER OXFORD ROAD,53.481917,-2.238783,1.604531908,2.330151318,1.90440084,-2.149518653,Cluster1
9400ZZMAMKT,Market Street,53.401012,-2.057518,2.087574785,1.074640718,1.978731972,-1.44537052,Cluster1
9100MARPLE,MARPLE,53.39188,-2.279828,-2.170134984,-1.110951278,-0.699498187,1.398658844,Cluster4
9400ZZMAMFT,Martinscroft,53.433508,-2.208966,0.937057671,0.187698045,0.204631085,-0.321855305,Cluster2
9100MLDTHRD,MAULDETH ROAD,53.472278,-2.296883,-0.073165836,0.821183116,-0.02454682,-0.171612385,Cluster2
9400ZZMAMCU,MediaCityUK,53.360081,-2.083503,1.200527942,-0.79593616,1.166830297,0.6384232,Cluster3
9100MDWD,MIDDLEWOOD,53.551064,-2.171479,-2.603170456,-2.52059356,-1.590804373,2.65488024,Cluster5
9100MLSHILL,MILLS HILL,53.608112,-2.112088,-0.854404902,0.034423468,-0.307209795,-0.442320584,Cluster4
9400ZZMAMIL,Milnrow,53.50108,-2.210685,-0.26662733,0.324184062,-1.196483587,-0.534149393,Cluster2
9400ZZMAMON,Monsall,53.403421,-2.295201,0.925537719,-1.211688752,-0.04503739,0.48096365,Cluster3
9400ZZMAMRD,Moor Road,53.516333,-2.35225,0.739434895,0.366095606,0.365603893,0.31368301,Cluster3
9100MRSD,MOORSIDE,53.556176,-2.401339,-0.739391557,0.003721683,-1.153475103,0.222537803,Cluster4
9100MSGT,MOSES GATE,53.514922,-2.041325,-0.612303395,-0.373341056,-0.099959707,0.723152105,Cluster4
9100MOSSLEY,MOSSLEY,53.523336,-2.171021,-1.033874579,-0.024074986,-0.524686658,0.013889506,Cluster4
9100MSTN,MOSTON,53.395723,-2.343329,0.166032819,0.586984058,-1.339252714,-0.943377871,Cluster2
9400ZZMANAV,Navigation Road,53.481082,-2.219777,-0.447738754,1.283584252,-0.358240567,-0.013973548,Cluster2
9400ZZMANIS,New Islington,53.613381,-2.135516,0.82344744,0.538768441,0.999691441,-2.952159591,Cluster1
9400ZZMANBD,Newbold,53.600864,-2.094857,-0.223778758,0.143035939,0.25713498,-1.817168623,Cluster2
9400ZZMANHY,Newhey,53.456584,-2.066947,0.088562712,-0.684660386,-1.882366095,0.403952488,Cluster4
9100NWTH,NEWTON FOR HYDE,53.504125,-2.184648,-0.671468108,-0.047133918,-1.633362862,0.592882808,Cluster4
9400ZZMANEW,Newton Heath & Moston,53.41453,-2.288222,0.809405271,-0.717935059,-0.680807121,-0.269732686,Cluster3
9400ZZMANMR,Northern Moor,53.456435,-2.284559,0.642917398,0.693836302,-0.929455336,-0.252786721,Cluster2
9400ZZMAOLD,Old Trafford,53.540277,-2.112179,0.572361024,0.113894922,1.103542422,-0.000977297,Cluster3
9400ZZMAOMC,Oldham Central,53.539571,-2.117187,0.615586105,-1.224638656,1.143239555,0.621525376,Cluster3
9400ZZMAOKS,Oldham King Street,53.542406,-2.103433,0.705418277,-0.756302944,1.318338157,-0.247263718,Cluster3
9400ZZMAOMP,Oldham Mumps,53.530171,-2.709182,-0.062910711,-0.718885932,0.466983565,-0.402547399,Cluster3
9100ORRELL,ORRELL,53.46735,-2.309081,-2.05952704,-0.368058819,-1.431369993,0.654745635,Cluster4
9400ZZMAPAR,Parkway,53.484868,-2.356857,0.066852837,-2.454035337,1.124649172,1.949049177,Cluster5
9100PTRCRFT,PATRICROFT,53.373708,-2.250413,0.335241906,0.393288546,-0.345194081,-1.893127465,Cluster2
9400ZZMAPLL,Peel Hall,53.530487,-2.669857,0.551628707,-0.289543993,0.211020331,-0.386309304,Cluster3
9100PBRT,PEMBERTON,53.477214,-2.230952,-1.041283082,0.446438429,-1.000936515,-0.276563351,Cluster4
9400ZZMAPIC,Piccadilly,53.480222,-2.23686,1.617300923,1.208785035,1.326413249,-1.938614906,Cluster1
9400ZZMAPGD,Piccadilly Gardens,53.466578,-2.275137,2.392326745,2.09560816,2.012096145,-2.496080485,Cluster1
9400ZZMAPOM,Pomona,53.533372,-2.281981,0.680063378,-0.02768944,0.799796433,0.390583808,Cluster3
9400ZZMAPWC,Prestwich,53.501707,-2.226653,0.541998601,0.813498784,-0.451821378,0.513521217,Cluster2
9400ZZMAQRD,Queens Road,53.562305,-2.321003,0.135923559,-0.618942471,0.178841497,0.777219962,Cluster3
9400ZZMARAD,Radcliffe,53.449543,-2.156239,-0.489287955,-0.393323023,0.117732022,0.073088845,Cluster3
9100REDISHN,REDDISH NORTH,53.436075,-2.158507,-0.134630586,0.721402611,-0.874602036,-0.417493254,Cluster2
9100REDISHS,REDDISH SOUTH,53.376315,-2.25853,0.316491748,0.283796935,-0.655614757,0.868204434,Cluster2
9400ZZMARWD,Robinswood Road,53.61733,-2.155317,0.648704862,0.065573037,0.99547469,-0.506276675,Cluster3
9400ZZMARIN,Rochdale,53.611021,-2.154447,-0.241943142,0.065505624,0.796210257,0.069789009,Cluster3
9400ZZMARRS,Rochdale Railway Station,53.414017,-2.089325,0.455757635,0.368805038,0.48788872,-0.190078481,Cluster2
9100ROMILEY,ROMILEY,53.396022,-2.076505,-0.063625855,-0.054611434,-0.41347202,0.18485074,Cluster2
9100ROHL,ROSE HILL,53.392604,-2.289155,-1.291293402,-0.04947288,-0.966629429,-0.176286104,Cluster4
9400ZZMARND,Roundthorn,53.456836,-2.173675,0.830751072,-0.309668548,0.104815128,0.113794236,Cluster3
9100RYDRBRW,RYDER BROW,53.424438,-2.318852,0.235665815,0.379001051,0.232012246,0.395336854,Cluster2
9400ZZMASLE,Sale,53.428231,-2.290828,0.263831704,1.553682238,1.016724641,-0.538724574,Cluster2
9400ZZMASWP,Sale Water Park,53.482845,-2.255545,-0.596141674,-2.632422417,-0.228709773,2.974600615,Cluster5
9100SLFDORD,SALFORD CENTRAL,53.486485,-2.275777,0.850950424,0.990971935,1.874345566,-1.151835091,Cluster1
9100SLFDCT,SALFORD CRESCENT,53.470359,-2.283974,0.245763301,-0.401468738,1.155023268,0.800743084,Cluster3
9400ZZMASQY,Salford Quays,53.367573,-2.252511,0.624281918,0.721208068,1.340483433,-0.238772464,Cluster3
9400ZZMASDW,Shadowmoss,53.576159,-2.089546,-0.317333311,-0.55657039,-0.498332727,-2.610926246,Cluster2
9400ZZMASHA,Shaw and Crompton,53.48529,-2.23908,-0.504231834,0.093215863,-1.103322027,-0.804916995,Cluster4
9400ZZMASHU,Shudehill,53.63298,-2.113863,1.807202324,1.568306422,1.948171182,-1.318493168,Cluster1
9100SMBG,SMITHY BRIDGE,53.526516,-2.145269,-1.713070339,-0.311087565,-0.83165927,-0.705171567,Cluster4
9400ZZMASCH,South Chadderton,53.478215,-2.243117,0.860045583,0.20271462,-0.211697587,0.038476037,Cluster2
9400ZZMASTP,St Peter's Square,53.438717,-2.265428,2.664355777,1.004403138,1.983914848,-1.53912694,Cluster1
9400ZZMASTW,St Werburgh's Road,53.484387,-2.063328,0.969537014,0.884042865,0.972113785,0.436695244,Cluster3
9100SBYD,STALYBRIDGE,53.405535,-2.163057,-0.541894518,-0.236361045,-0.632209247,0.609306477,Cluster4
9100STKP,STOCKPORT,53.446086,-2.303793,1.027298639,0.187193027,1.224687323,0.072953701,Cluster3
9400ZZMASFD,Stretford,53.514822,-2.337082,0.297101331,0.681761192,1.017810983,0.670753831,Cluster3
9100SWNT,SWINTON,53.467899,-2.347799,-0.061116163,0.435509258,-0.89821679,-0.732445386,Cluster2
9400ZZMATIM,Timperley,53.40452,-2.338256,-0.018103935,0.983678338,-0.691994348,-0.277201121,Cluster2
9400ZZMATRA,Trafford Bar,53.461845,-2.277049,0.311921922,-0.991317294,1.12466579,1.010972945,Cluster3
9100TRFDPK,TRAFFORD PARK,53.454785,-2.3117,-0.145327877,0.131652257,0.318140378,-0.281388686,Cluster2
9100URMSTON,URMSTON,53.448285,-2.353796,-0.049151422,0.441450721,-0.626186334,0.291373342,Cluster2
9400ZZMAVPK,Velopark,53.482279,-2.193022,0.743408274,-0.706125037,1.285163292,1.317722709,Cluster3
9400ZZMAVIC,Victoria,53.487394,-2.241948,2.033221546,2.208782866,1.552328332,-1.714062172,Cluster1
9400ZZMAVLG,Village,53.467395,-2.309066,0.067158239,-2.454056348,1.122686487,1.949049177,Cluster5
9100WALKDEN,WALKDEN,53.51979,-2.396168,-0.297046618,0.603857055,0.419688659,0.226157422,Cluster2
9400ZZMAWST,Weaste,53.482488,-2.308,0.201666404,0.462722776,-0.12889588,0.185469453,Cluster2
9400ZZMAWTD,West Didsbury,53.424477,-2.236039,0.945283044,1.776638344,0.267388332,-0.820195584,Cluster2
9100WSTHOTN,WESTHOUGHTON,53.555912,-2.523141,-1.628267888,0.486070444,-0.393372113,-0.243090301,Cluster4
9400ZZMAWWD,Westwood,53.542321,-2.125871,0.591944574,-0.245576415,1.120728059,-1.121825893,Cluster3
9400ZZMAWFS,Wharfside,53.466217,-2.287502,0.497724905,-0.796224495,1.42180892,-0.463943192,Cluster3
9400ZZMAWFD,Whitefield,53.551227,-2.295261,0.224620743,0.907417573,-0.245274899,0.283543927,Cluster2
9100WIGANNW,WIGAN NORTH WESTERN,53.54336,-2.633314,-0.767935865,-0.826555153,0.479987441,-0.066566372,Cluster3
9100WIGANWL,WIGAN WALLGATE,53.544833,-2.633411,-0.467552713,-1.096993017,1.076712382,0.616507508,Cluster3
9400ZZMAWIT,Withington,53.43281,-2.249407,0.735285875,-0.315476029,-0.892711731,1.325595131,Cluster3
9100WOODLEY,WOODLEY,53.429259,-2.092804,-1.004752826,-0.241094458,-0.925523947,-0.457788814,Cluster4
9100WMOR,WOODSMOOR,53.386246,-2.141558,-1.24642223,0.183245225,-1.241924536,-0.254369306,Cluster4
9400ZZMAWPK,Wythenshawe Park,53.407671,-2.295666,0.565921413,0.593848394,0.072310939,-0.204647984,Cluster2
9400ZZMAWYT,Wythenshawe Town Centre,53.380025,-2.263755,0.765193505,0.479742026,0.785538135,-0.191164744,Cluster3
